lol,property_id,unit,tenant_id,name,status,balance_0_30_in_cents,balance_31_60_in_cents,balance_61_90_in_cents,balance_over_90_in_cents,total_owed_in_cents,housing_authority_in_cents,general_notes,court_registry_in_cents,file_date,summons_served,case_number,default_date,judgement,writ_of_possession,motion_to_strike,stipulations,twenty_four_hour_notice,three_day,rent,three_day_sign,prop_asst,legal_name,dba,address,city_state_zip,apt_no
,094,01-0514,t0018828,Giacomo Skinner,Current,14709,0,0,0,14709,0,,,,,,,,,,,,2017-02-14,1610,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0514
,094,01-0541,t0021428,Tanek Lawson,Current,1210,0,0,0,1210,0,,,,,,,,,,,,2017-02-14,1610,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0541
,094,01-0605,t0011529,Raymond Ortiz,Current,61410,0,0,0,61410,0,,,,,,,,,,,,2017-02-14,1610,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0605
,094,01-0639,t0012087,Coby Beasley,Eviction,0,35599,0,0,35599,0,,,2016-12-21,2017-01-07,3016-033388-tt-06,,,,,2016-12-28,,2017-02-14,1610,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0639
,094,01-0644,t0011898,Trevor Aguilar,Current,164560,0,0,0,164560,0,,,,,,,,,,,,2017-02-14,1610,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0644
,094,01-0707,t0018153,Jonas Albert,Current,3500,0,0,0,3500,0,,,,,,,,,,,,2017-02-14,1675,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0707
,094,01-0710,t0022451,Bernard Delaney,Current,174053,0,0,0,174053,0,,,,,,,,,,,,2017-02-14,1625,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0710
,094,01-0718,t0022449,Michael Hogan,Current,183630,0,0,0,183630,0,,,,,,,,,,,,2017-02-14,1625,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0718
,094,01-0723,t0011805,Jakeem Woodard,Notice,0,9530,0,0,9530,0,,,,,,,,,,,,2017-02-14,1655,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0723
,094,01-0729,t0021823,Callum Parks,Current,184580,0,0,0,184580,0,,,,,,,,,,,,2017-02-14,1655,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0729
,094,01-0731,t0019784,Jordan Perry,Current,38300,0,0,0,38300,0,,,,,,,,,,,,2017-02-14,1625,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0731
,094,01-0739,t0011272,Beck Sykes,Current,174590,0,0,0,174590,0,,,,,,,,,,,,2017-02-14,1625,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0739
,094,01-0740,t0010934,Daquan Phillips,Current,89868,0,0,0,89868,0,,,,,,,,,,,,2017-02-14,1625,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0740
,094,01-0801,t0015832,Mason Steele,Eviction,288130,234630,0,0,522760,0,,,2017-01-26,2017-01-31,3019-001696-tt-06,2017-02-08,,,,,,2017-02-14,2085,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0801
,094,01-0810,t0022236,Maxwell Cole,Current,16030,0,0,0,16030,0,,,,,,,,,,,,2017-02-14,1645,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0810
,094,01-0816,t0021440,Linus Blanchard,Current,185180,0,0,0,185180,0,,,,,,,,,,,,2017-02-14,1645,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0816
,094,01-0823,t0011002,Stephen Grant,Current,1870,0,0,0,1870,0,,,,,,,,,,,,2017-02-14,1700,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0823
,094,01-0824,t0019720,Knox Gibbs,Current,3801,0,0,0,3801,0,,,,,,,,,,,,2017-02-14,1700,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0824
,094,01-0826,t001,0946,Brennan Rutledge,Current,185920,10538,0,0,196458,0,,,,,,,,,,,,2017-02-14,1700,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0826
,pmaha,01-0206,t0002343,Louis Ashley,Current,4293,0,0,0,4293,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0206
,pmaha,01-0207,t0011077,Alec Koch,Current,3318,0,0,0,3318,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0207
,pmaha,01-0216,t0020392,Caleb Snider,Current,1652,0,0,0,1652,0,,,,,,,,,,,,2017-02-14,1560,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0216
,pmaha,01-0219,t0019823,Merritt Ashley,Current,142609,0,0,0,142609,0,,,,,,,,,,,,2017-02-14,1360,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0219
,pmaha,01-0224,t0003428,Channing Jensen,Current,113631,0,0,0,113631,0,,,,,,,,,,,,2017-02-14,1295,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0224
,pmaha,01-0231,t0005442,Randall Hoffman,Notice,4481,0,0,0,4481,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0231
,pmaha,01-0305,t0021403,Elvis Rios,Current,139146,0,0,0,139146,0,,,,,,,,,,,,2017-02-14,1335,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0305
,pmaha,01-0306,t0009666,Dominic Valentine,Current,129580,0,0,0,129580,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0306
,pmaha,01-0308,t0017365,Mannix Sears,Current,137915,0,0,0,137915,0,,,,,,,,,,,,2017-02-14,1335,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0308
,pmaha,01-0309,t0060733,Walter Bartlett,Current,1746,0,0,0,1746,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0309
,pmaha,01-0314,t0018125,Jerry Lara,Current,39960,0,0,0,39960,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0314
,pmaha,01-0315,t0011203,Kieran Dejesus,Current,117700,0,0,0,117700,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0315
,pmaha,01-0403,t0019691,Russell Hancock,Current,177760,0,0,0,177760,0,,,,,,,,,,,,2017-02-14,1700,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0403
,pmaha,01-0410,t0020500,Trevor Cantu,Current,150868,0,0,0,150868,0,,,,,,,,,,,,2017-02-14,1335,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   0410
,pmaha,01-0416,t0021538,Odysseus Bennett,Current,161689,0,0,0,161689,0,,,,,,,,,,,,2017-02-14,1560,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   0416
,pmaha,01-0419,t0002413,Drew Larson,Current,1939,0,0,0,1939,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   0419
,pmaha,01-0425,t0009847,Dennis Gonzales,Current,2435,0,0,0,2435,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0425
,pmaha,01-0429,t0017426,Quamar Mcintosh,Current,9165,0,0,0,9165,0,,,,,,,,,,,,2017-02-14,1360,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0429
,pmaha,01-0517,t0002440,Steven Gonzalez,Current,12410,0,0,0,12410,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0517
,pmaha,01-0518,t0002441,Tate Oneil,Current,165480,0,0,0,165480,0,,,2016-11-18,,3016-019616-tt-33,2016-12-06,,,,,,2017-02-14,1660,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0518
,pmaha,01-0519,t0065703,Abdul Galloway,Current,2725,0,0,0,2725,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0519
,pmaha,01-0520,t0021720,Kieran Snow,Current,330,0,0,0,330,0,,,,,,,,,,,,2017-02-14,1345,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0520
,pmaha,01-0526,t0072542,Alden Bradshaw,Current,1115,0,0,0,1115,0,,,,,,,,,,,,2017-02-14,1335,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0526
,pmaha,01-0528,t0008860,Graiden Watson,Current,2552,0,0,0,2552,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19477 S 42 Ave,North Miami Beach FL 33179   ,0528
,pmaha,02-0110,t0056785,Garrison Rosa,Current,133626,0,0,0,133626,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0110
,pmaha,02-0112,t0021804,Rogan Peck,Eviction,178750,232250,178693,0,589693,0,,,2016-12-29,2017-01-05,3016-031811-tt-33,2017-01-13,2017-02-07,2017-02-07,,,,2017-02-14,1700,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0112
,pmaha,02-0115,t0020353,Lucian Hobbs,Current,142660,0,0,0,142660,0,,,,,,,,,,,,2017-02-14,1335,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0115
,pmaha,02-0117,t0018076,Judah Foreman,Current,165446,0,0,0,165446,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0117
,pmaha,02-0118,t0017197,Colorado Guthrie,Current,119885,0,0,0,119885,0,,,2016-09-28,,3016-016364-tt-33,,,,,,,2017-02-14,1120,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0118
,pmaha,02-0128,t0021645,Blaze Sims,Current,164838,0,0,0,164838,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0128
,pmaha,02-0129,t0015763,Ivan Mcclain,Notice,168329,9990,0,0,178319,0,,,2016-11-23,,3016-019916-tt-33,,,,,,,2017-02-14,1625,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0129
,pmaha,02-0203,t0017893,Ferris Patel,Current,145387,0,0,0,145387,0,,,,,,,,,,,,2017-02-14,1360,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0203
,pmaha,02-0205,t0018423,Honorato Castro,Current,157751,0,0,0,157751,0,,,,,,,,,,,,2017-02-14,1335,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0205
,pmaha,02-0210,t0017696,Berk Hicks,Eviction,190670,136153,0,0,326823,0,,,2017-01-25,2017-01-31,19-001436-tt-33,2017-02-08,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0210
,pmaha,02-0212,t0022461,Arden Estes,Current,2000,0,0,0,2000,0,,,,,,,,,,,,2017-02-14,1775,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0212
,pmaha,02-0216,t0059434,Erasmus Phelps,Current,201837,0,0,0,201837,0,,,2017-01-25,2017-01-31,19-001431-tt-33,,,,,2017-02-03,,2017-02-14,1460,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0216
,pmaha,02-0222,t0019457,Channing Gould,Notice,111800,260,0,0,112060,0,,,,,,,,,,,,2017-02-14,1360,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0222
,pmaha,02-0224,t0015902,Rashad Cote,Current,2,094,0,0,0,2,094,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0224
,pmaha,02-0228,t0021441,Abbot Montoya,Current,31,0,0,0,31,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0228
,pmaha,02-0229,t0013874,James Osborn,Current,10,0,0,0,10,0,,,,,,,,,,,,2017-02-14,1725,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0229
,pmaha,02-0301,t0020600,Michael Estrada,Current,84260,0,0,0,84260,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0301
,pmaha,02-0306,t0016017,Akeem Poole,Current,2313,0,0,0,2313,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0306
,pmaha,02-0307,t0022213,Lyle Mcintosh,Current,1082,0,0,0,1082,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0307
,pmaha,02-0311,t0019211,Brett Kerr,Current,46,0,0,0,46,0,,,,,,,,,,,,2017-02-14,1675,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0311
,pmaha,02-0322,t0019973,Gil Dejesus,Current,5300,0,0,0,5300,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0322
,pmaha,02-0324,t0019629,Wade Bowen,Current,239,0,0,0,239,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0324
,pmaha,02-0325,t0021357,Jelani Solis,Current,1660,0,0,0,1660,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0325
,pmaha,02-0326,t0014292,Jin Floyd,Current,126500,0,0,0,126500,0,,,2016-10-25,,3016-018010-tt-33,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0326
,pmaha,02-0327,t0002534,Shad Cervantes,Current,2564,0,0,0,2564,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0327
,pmaha,02-0401,t0022203,Vladimir Aguilar,Current,1604,0,0,0,1604,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0401
,pmaha,02-0402,t0014933,Marvin Hurley,Current,169840,0,0,0,169840,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0402
,pmaha,02-0406,t0002543,Laith Mays,Current,300,0,0,0,300,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0406
,pmaha,02-0410,t0002547,Ira Small,Current,8,0,0,0,8,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   0410
,pmaha,02-0411,t0022523,Devin Hood,Eviction,172810,226310,172810,0,571930,0,,,2016-12-23,2017-01-02,3016-031813-tt-33,2017-01-10,2017-01-26,2017-01-26,,,2017-02-07,2017-02-14,1650,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   0411
,pmaha,02-0415,t0016831,Rahim Banks,Current,791,0,0,0,791,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   0415
,pmaha,02-0423,t0013213,Giacomo Skinner,Current,3216,0,0,0,3216,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0423
,pmaha,02-0425,t0016414,Tanek Lawson,Current,12594,0,0,0,12594,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0425
,pmaha,02-0429,t0015596,Raymond Ortiz,Notice,58825,0,0,0,58825,0,,,,,,,,,,,,2017-02-14,1625,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0429
,pmaha,02-0507,t0017474,Coby Beasley,Current,7500,0,0,0,7500,0,,,,,,,,,,,,2017-02-14,1385,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0507
,pmaha,02-0531,t0017867,Trevor Aguilar,Notice,159280,159280,184280,3392,506232,0,,3179,2016-10-19,,3016-019663-tt-33,2017-01-04,,,,,,2017-02-14,1495,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19499 S 42 Ave,North Miami Beach FL 33179   ,0531
,pmaha,03-0108,t0018454,Jonas Albert,Current,1294,0,0,0,1294,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19355 S 42 Ave,North Miami Beach FL 33179   ,0108
,pmaha,03-0116,t0002606,Bernard Delaney,Current,157448,0,0,0,157448,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19355 S 42 Ave,North Miami Beach FL 33179   ,0116
,pmaha,03-0117,t0012227,Michael Hogan,Current,150370,0,0,0,150370,0,,,,,,,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19355 S 42 Ave,North Miami Beach FL 33179   ,0117
,pmaha,03-0204,t0016817,Jakeem Woodard,Notice,132853,12080,0,0,144933,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19355 S 42 Ave,North Miami Beach FL 33179   ,0204
,pmaha,03-0212,t0002351,Callum Parks,Current,2392,0,0,0,2392,0,,,,,,,,,,,,2017-02-14,1285,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19355 S 42 Ave,North Miami Beach FL 33179   ,0212
,pmaha,03-0216,t0015602,Jordan Perry,Eviction,157850,211350,157636,0,526836,0,,,2016-12-23,2017-01-02,3016-031813-tt-33,2017-01-11,,,,,,2017-02-14,1550,Myriam Rojas,Matthew Rodriguez,North Aventura Apartments LLC ,   North Aventura Apartments,19355 S 42 Ave,North Miami Beach FL 33179   ,0216
